"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","2/10","78/9421",0.0256410256410256,24.1564102564103,6.69395713269255,0.00291708848996445,0.00514411303606634,0.00161785326551509,"7124/3553",2
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","3/10","298/9421",0.0100671140939597,9.48422818791946,4.85131193066887,0.00318683476713142,0.00556000959371864,0.00174865513538006,"7124/3553/3569",3
"Organismal Systems","Aging","hsa04211","Longevity regulating pathway","2/10","90/9421",0.0222222222222222,20.9355555555556,6.19431187355157,0.00386405338655587,0.00667057637258066,0.00209793480267299,"207/7157",2
"Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","2/10","99/9421",0.0202020202020202,19.0323232323232,5.87925498748457,0.00465646621709447,0.00787278824333498,0.00247603738076646,"207/3091",2
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","2/10","99/9421",0.0202020202020202,19.0323232323232,5.87925498748457,0.00465646621709447,0.00787278824333498,0.00247603738076646,"7124/3569",2
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","2/10","100/9421",0.02,18.842,5.84682164065408,0.00474880367308345,0.00794697757536414,0.00249937035425445,"7124/3569",2
"Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","2/10","105/9421",0.019047619047619,17.9447619047619,5.69145026530115,0.00522324992250436,0.00865265643727996,0.00272131043277739,"7157/3091",2
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","2/10","115/9421",0.0173913043478261,16.384347826087,5.41070742866016,0.00623532413865836,0.0102259315873997,0.00321611455572905,"207/596",2
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","2/10","122/9421",0.0163934426229508,15.444262295082,5.23437366635649,0.00699323582850529,0.0113553532264838,0.00357132418547951,"207/7124",2
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","2/10","130/9421",0.0153846153846154,14.4938461538462,5.0499114769746,0.00790854115118781,0.0127156936156353,0.00399915909605988,"207/4318",2
"Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","2/10","133/9421",0.0150375939849624,14.1669172932331,4.98489929827415,0.00826514053892922,0.013160029595965,0.0041389053286411,"7124/836",2
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","2/10","154/9421",0.012987012987013,12.2350649350649,4.58219883364096,0.0109613979396962,0.017285281366444,0.00543632084053757,"207/596",2
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","2/10","157/9421",0.0127388535031847,12.0012738853503,4.53107337011595,0.0113746828798495,0.0177661713551935,0.00558756351992607,"836/3091",2
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","2/10","205/9421",0.00975609756097561,9.19121951219512,3.86510971840544,0.0189006887605546,0.0292425750634995,0.00919695878120331,"7157/836",2
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","2/10","217/9421",0.00921658986175115,8.68294930875576,3.73230472307041,0.0210402708382518,0.0322486394156383,0.0101423833848927,"207/596",2
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","2/10","269/9421",0.00743494423791822,7.00446096654275,3.25686475896615,0.0314206473719918,0.0477128348982098,0.0150059621952008,"7157/836",2
