Gene Symbol,Database
CDK4,GeneCards
CYTOR,GeneCards
BRCA1,GeneCards
CDC73,GeneCards
HOTTIP,GeneCards
XIST,GeneCards
ABCB1,GeneCards
PRDM10,GeneCards
CDKN1C,GeneCards
CLTC,GeneCards
LINC00887,GeneCards
MIR494,GeneCards
HIF1A-AS2,GeneCards
NEAT1,GeneCards
PVT1,GeneCards
MSC-AS1,GeneCards
MIR320A,GeneCards
LINC-ROR,GeneCards
SNHG1,GeneCards
MIR4435-2HG,GeneCards
MIRLET7G,GeneCards
HOTAIRM1,GeneCards
KDM5C,GeneCards
ADAMTS9-AS2,GeneCards
CDKN2B-AS1,GeneCards
PCAT1,GeneCards
ZFAS1,GeneCards
MYC,GeneCards
SNHG5,GeneCards
COL18A1-AS1,GeneCards
NBAT1,GeneCards
BIRC5,GeneCards
MUTYH,GeneCards
ERBB2,GeneCards
AMACR,GeneCards
SCARB1,GeneCards
MAX,GeneCards
CTLA4,GeneCards
THORLNC,GeneCards
CCAT1,GeneCards
HOTAIR,GeneCards
OTUD6B-AS1,GeneCards
ATRX,GeneCards
PAX2,GeneCards
LUCAT1,GeneCards
PALB2,GeneCards
PDGFRB,GeneCards
ABCG2,GeneCards
NFKB1,GeneCards
SMAD4,GeneCards
DGCR5,GeneCards
MMP9,GeneCards
MSH3,GeneCards
SBF2-AS1,GeneCards
SNHG12,GeneCards
PTCH1,GeneCards
SNHG17,GeneCards
CAMK2B,GeneCards
BRIP1,GeneCards
DIS3L2,GeneCards
FLT4,GeneCards
DARS1-AS1,GeneCards
POLE,GeneCards
CASC19,GeneCards
LNCARSR,GeneCards
UCHL1,GeneCards
MIR155HG,GeneCards
TTN-AS1,GeneCards
SNHG3,GeneCards
LINC00460,GeneCards
PGM5-AS1,GeneCards
SNHG6,GeneCards
NBN,GeneCards
STAT3,GeneCards
NFE2L2,GeneCards
FTX,GeneCards
CRNDE,GeneCards
GAS6,GeneCards
LINC00342,GeneCards
LINC02747,GeneCards
MEN1,GeneCards
FGD5-AS1,GeneCards
DNAJC3-DT,GeneCards
SCAMP1,GeneCards
PTGS2,GeneCards
GIHCG,GeneCards
RUNX1,GeneCards
GREM1,GeneCards
PRKAR1A,GeneCards
RAD50,GeneCards
MEG8,GeneCards
MCM3AP-AS1,GeneCards
ASB16-AS1,GeneCards
HCP5,GeneCards
ARAP1-AS1,GeneCards
ZFPM2-AS1,GeneCards
AFAP1-AS1,GeneCards
FER1L4,GeneCards
LOXL1-AS1,GeneCards
HCG18,GeneCards
LINC01234,GeneCards
NR2F2-AS1,GeneCards
MILIP,GeneCards
SNHG4,GeneCards
TMEM238L,GeneCards
BARD1,GeneCards
LINC01094,GeneCards
LINC00944,GeneCards
IATPR,GeneCards
MMP2,GeneCards
ITCH,GeneCards
FOXP1,GeneCards
PUM1,GeneCards
TRAF3IP2-AS1,GeneCards
MAGI2-AS3,GeneCards
APCDD1L-DT,GeneCards
LINC01133,GeneCards
CDR1-AS,GeneCards
POLD1,GeneCards
FAM13A-AS1,GeneCards
NNT-AS1,GeneCards
MIR210,GeneCards
CXCR4,GeneCards
DENND1B,GeneCards
ENTPD3-AS1,GeneCards
ITGB2-AS1,GeneCards
CASR,GeneCards
TRAF3IP2,GeneCards
POU3F3,GeneCards
KIZ,GeneCards
KCNQ1DN,GeneCards
APOC1P1,GeneCards
GHET1,GeneCards
KMT2E-AS1,GeneCards
MANCR,GeneCards
ZNF503-AS2,GeneCards
LINC00641,GeneCards
LINC02041,GeneCards
LINC02064,GeneCards
DUXAP10,GeneCards
EMBP1,GeneCards
SOCS3-DT,GeneCards
AXIN2,GeneCards
RAD51C,GeneCards
SLC16A1-AS1,GeneCards
LINC00671,GeneCards
LINC01939,GeneCards
LINC01535,GeneCards
CEBPA,GeneCards
GAPLINC,GeneCards
SUFU,GeneCards
CCDC66,GeneCards
PCGEM1,GeneCards
LINC00997,GeneCards
RAD51D,GeneCards
MOK,GeneCards
BLM,GeneCards
BMPR1A,GeneCards
ZNF609,GeneCards
OTOAP1,GeneCards
ENO1,GeneCards
FGFR2,GeneCards
MDM2,GeneCards
IRAIN,GeneCards
ADIRF-AS1,GeneCards
ABCC6P2,GeneCards
CDKN1A,GeneCards
MME,GeneCards
TYR,GeneCards
POT1,GeneCards
SLC2A1,GeneCards
CUL2,GeneCards
AXL,GeneCards
NTHL1,GeneCards
TERC,GeneCards
HOXB13,GeneCards
EZH2,GeneCards
MUC1,GeneCards
NRAS,GeneCards
GATA2,GeneCards
RECQL4,GeneCards
FGFR1,GeneCards
TGFB1,GeneCards
MIR126,GeneCards
WRN,GeneCards
CYP3A4,GeneCards
C12orf43,GeneCards
SMARCE1,GeneCards
H19,GeneCards
CDH16,GeneCards
PHOX2B,GeneCards
FOLH1,GeneCards
